generation,best,avg,worst,mutation_rate
1,3.3000000000000003,-1.7312,-7.400000000000002,0.01
2,4.5,0.6188000000000003,-5.1000000000000005,0.01
3,6.099999999999998,1.8864000000000003,-3.6999999999999993,0.01
4,7.199999999999999,3.1138000000000003,-2.6999999999999997,0.01
5,8.499999999999998,4.602,-0.5999999999999998,0.01
6,9.299999999999999,6.1259999999999994,1.1499999999999997,0.01
7,11.1,7.416599999999999,3.45,0.01
8,11.1,8.5682,4.5,0.01
9,11.5,9.758799999999999,5.899999999999999,0.01
10,12.0,10.54,6.299999999999999,0.01
11,12.0,10.791799999999999,7.599999999999999,0.01
12,12.0,10.9688,7.299999999999999,0.01
13,12.499999999999998,11.2466,8.7,0.01
14,12.599999999999998,11.4028,8.899999999999999,0.01
15,12.599999999999998,11.506,8.2,0.01
16,12.599999999999998,11.6388,7.999999999999999,0.01
17,12.599999999999998,11.8,8.799999999999999,0.01
18,12.999999999999998,11.963599999999998,9.5,0.01
19,12.999999999999998,12.002,8.7,0.01
20,13.099999999999998,12.070999999999998,8.099999999999998,0.01
21,13.099999999999998,12.209599999999998,9.899999999999999,0.01
22,13.099999999999998,12.248199999999999,9.5,0.01
23,13.099999999999998,12.4028,10.2,0.01
24,13.099999999999998,12.478999999999997,9.1,0.01
25,13.099999999999998,12.578799999999998,9.1,0.01
26,13.099999999999998,12.580399999999997,9.2,0.01
27,13.099999999999998,12.657399999999997,9.799999999999999,0.01
28,13.099999999999998,12.698799999999997,10.0,0.01
29,13.099999999999998,12.693799999999998,9.599999999999998,0.005
30,13.399999999999999,12.817399999999997,10.299999999999999,0.005
31,13.399999999999999,12.801999999999998,10.1,0.005
32,13.399999999999999,12.852799999999997,9.1,0.005
33,13.399999999999999,12.811999999999998,11.099999999999998,0.005
34,13.399999999999999,12.906199999999998,10.899999999999999,0.0025
35,13.399999999999999,12.939599999999999,11.599999999999998,0.0025
36,13.399999999999999,12.9576,11.5,0.0025
37,13.399999999999999,13.044399999999998,11.799999999999997,0.0025
38,13.399999999999999,13.054399999999998,11.299999999999997,0.0025
39,13.399999999999999,13.146399999999998,11.599999999999998,0.00125
40,13.499999999999998,13.177999999999999,10.999999999999996,0.00125
41,13.499999999999998,13.213599999999998,10.999999999999998,0.00125
42,13.499999999999998,13.251799999999998,11.199999999999998,0.00125
43,13.499999999999998,13.285999999999998,11.399999999999997,0.00125
44,13.499999999999998,13.333599999999999,11.699999999999998,0.001
45,13.999999999999998,13.346399999999997,8.999999999999998,0.001
46,13.999999999999998,13.3752,11.799999999999995,0.001
47,13.999999999999998,13.395199999999999,12.599999999999998,0.001
48,13.999999999999998,13.411999999999999,12.599999999999998,0.001
49,13.999999999999998,13.431599999999998,10.699999999999998,0.001
50,13.999999999999998,13.5032,12.599999999999998,0.001
51,13.999999999999998,13.550199999999998,11.499999999999996,0.001
52,13.999999999999998,13.620599999999998,11.699999999999998,0.001
53,13.999999999999998,13.722599999999998,12.299999999999997,0.001
54,13.999999999999998,13.821999999999997,11.999999999999996,0.001
55,13.999999999999998,13.885599999999998,13.199999999999998,0.001
56,13.999999999999998,13.942399999999997,12.899999999999999,0.001
57,13.999999999999998,13.951199999999998,11.999999999999996,0.001
58,13.999999999999998,13.964399999999998,12.199999999999998,0.001
59,13.999999999999998,13.990399999999998,13.399999999999999,0.001
60,13.999999999999998,13.984399999999997,11.699999999999998,0.001
61,13.999999999999998,13.995599999999998,13.299999999999997,0.001
62,13.999999999999998,13.988799999999998,12.599999999999998,0.001
63,13.999999999999998,13.988399999999999,11.799999999999997,0.001
64,13.999999999999998,13.9872,11.799999999999997,0.001
65,13.999999999999998,13.999999999999998,13.999999999999998,0.001
66,13.999999999999998,13.986799999999997,12.399999999999997,0.001
67,13.999999999999998,13.997999999999998,13.499999999999998,0.001
68,13.999999999999998,13.977199999999998,12.499999999999998,0.001
69,13.999999999999998,13.981599999999998,12.199999999999998,0.001
70,13.999999999999998,13.988799999999998,12.499999999999998,0.001
71,13.999999999999998,13.976799999999997,12.499999999999996,0.001
72,13.999999999999998,13.990799999999997,12.499999999999996,0.001
73,13.999999999999998,13.9836,12.399999999999997,0.001
74,13.999999999999998,13.979199999999999,10.699999999999998,0.001
75,13.999999999999998,13.976799999999997,12.099999999999998,0.001
76,13.999999999999998,13.9812,12.399999999999997,0.001
77,13.999999999999998,13.969999999999999,11.299999999999997,0.001
78,13.999999999999998,13.985199999999999,12.799999999999997,0.001
79,13.999999999999998,13.986399999999998,11.999999999999998,0.001
80,13.999999999999998,13.985999999999999,12.599999999999998,0.001
81,13.999999999999998,13.947599999999998,10.699999999999998,0.001
82,13.999999999999998,13.970399999999998,12.6,0.001
83,13.999999999999998,13.977999999999998,11.999999999999996,0.001
84,14.299999999999999,13.974399999999997,12.799999999999997,0.001
85,14.299999999999999,13.979199999999999,12.399999999999999,0.001
86,14.299999999999999,13.973199999999999,11.699999999999998,0.001
87,14.299999999999999,13.972999999999999,10.199999999999998,0.001
88,14.299999999999999,14.000399999999997,12.299999999999997,0.001
89,14.299999999999999,14.020399999999999,13.999999999999998,0.001
90,14.299999999999999,14.006399999999998,11.999999999999996,0.001
91,14.299999999999999,14.0352,12.7,0.001
92,14.299999999999999,14.061999999999998,13.999999999999998,0.001
93,14.299999999999999,14.0712,12.899999999999999,0.001
94,14.299999999999999,14.085799999999999,12.999999999999998,0.001
95,14.299999999999999,14.102199999999998,12.299999999999997,0.001
96,14.299999999999999,14.123399999999998,13.099999999999998,0.001
97,14.299999999999999,14.1528,12.799999999999999,0.001
98,14.299999999999999,14.2016,13.099999999999998,0.001
99,14.299999999999999,14.201799999999999,11.0,0.001
100,14.299999999999999,14.2564,12.599999999999998,0.001
